full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Jorginho,30,1991/12/20,Premier League,2018/2019,Midfielder,Chelsea,3165,Italy,2,0,65000000.0
Jorginho,30,1991/12/20,Premier League,2018/2019,Midfielder,Chelsea,3165,Italy,2,0,1500000.0
Jorginho,30,1991/12/20,Premier League,2018/2019,Midfielder,Chelsea,3165,Italy,2,0,200000.0
Joselu,32,1990/03/27,Premier League,2018/2019,Forward,Newcastle United,586,Spain,2,0,4000000.0
Josh Murphy,27,1995/02/24,Premier League,2018/2019,Forward,Cardiff City,1825,England,3,2,10000000.0
Joshua King,30,1992/01/15,Premier League,2018/2019,Forward,AFC Bournemouth,2974,Norway,12,3,20000000.0
Juan Foyth,24,1998/01/12,Premier League,2018/2019,Defender,Tottenham Hotspur,930,Argentina,1,0,15000000.0
Juan Mata,34,1988/04/28,Premier League,2018/2019,Midfielder,Manchester United,1294,Spain,3,2,20000000.0
Juninho Bacuna,25,1997/08/07,Premier League,2018/2019,Midfielder,Huddersfield Town,1414,Netherlands,1,0,3500000.0
Junior Stanislas,32,1989/11/26,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027,England,2,3,4500000.0
Jürgen Locadia,28,1993/11/07,Premier League,2018/2019,Forward,Brighton & Hove Albion,1227,Netherlands,2,0,12000000.0
Kadeem Harris,29,1993/06/08,Premier League,2018/2019,Midfielder,Cardiff City,366,England,1,0,750000.0
Karl Darlow,32,1990/10/08,Premier League,2018/2019,Goalkeeper,Newcastle United,0,England,0,0,3500000.0
Kasper Schmeichel,35,1986/11/05,Premier League,2018/2019,Goalkeeper,Leicester City,3420,Denmark,0,0,12000000.0
Kelechi Iheanacho,26,1996/10/03,Premier League,2018/2019,Forward,Leicester City,926,Nigeria,1,3,12000000.0
Ken Sema,29,1993/09/30,Premier League,2018/2019,Midfielder,Watford,755,Sweden,1,2,3500000.0
Kepa Arrizabalaga,28,1994/10/03,Premier League,2018/2019,Goalkeeper,Chelsea,3240,Spain,0,0,60000000.0
Kevin De Bruyne,31,1991/06/28,Premier League,2018/2019,Midfielder,Manchester City,974,Belgium,2,2,130000000.0
Kevin Long,32,1990/08/18,Premier League,2018/2019,Defender,Burnley,513,Republic of Ireland,0,1,2500000.0
Kevin McDonald,33,1988/11/04,Premier League,2018/2019,Midfielder,Fulham,842,Scotland,0,0,3000000.0
Kieran Dowell,25,1997/10/10,Premier League,2018/2019,Midfielder,Everton,0,England,0,0,3000000.0
Kieran Trippier,32,1990/09/19,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,England,1,3,35000000.0
Kiko Femenía,31,1991/02/02,Premier League,2018/2019,Midfielder,Watford,2045,Spain,1,1,5000000.0
Konstantinos Mavropanos,24,1997/12/11,Premier League,2018/2019,Defender,Arsenal,150,Greece,0,0,3000000.0
Kortney Hause,27,1995/07/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,England,0,0,1000000.0
Kurt Zouma,28,1994/10/27,Premier League,2018/2019,Defender,Everton,2610,France,2,2,25000000.0
Kyle Walker,32,1990/05/28,Premier League,2018/2019,Defender,Manchester City,2777,England,1,1,50000000.0
Kyle Walker-Peters,25,1997/04/13,Premier League,2018/2019,Defender,Tottenham Hotspur,374,England,0,3,3500000.0
Laurent Depoitre,33,1988/12/07,Premier League,2018/2019,Forward,Huddersfield Town,1059,Belgium,0,1,3500000.0
Laurent Koscielny,37,1985/09/10,Premier League,2018/2019,Defender,Arsenal,1328,France,3,0,8000000.0
Leander Dendoncker,27,1995/04/15,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1469,Belgium,2,0,18000000.0
Leandro Bacuna,31,1991/08/21,Premier League,2018/2019,Midfielder,Cardiff City,554,Curaçao,0,0,3000000.0
Lee Grant,39,1983/01/27,Premier League,2018/2019,Goalkeeper,Manchester United,0,England,0,0,750000.0
Lee Peltier,35,1986/12/11,Premier League,2018/2019,Defender,Cardiff City,1542,England,0,0,1500000.0
Leighton Baines,37,1984/12/11,Premier League,2018/2019,Defender,Everton,376,England,0,0,3500000.0
Leon Balogun,34,1988/06/28,Premier League,2018/2019,Defender,Brighton & Hove Albion,591,Nigeria,1,0,2000000.0
Leroy Sané,26,1996/01/11,Premier League,2018/2019,Midfielder,Manchester City,1867,Germany,10,10,100000000.0
Lewis Cook,25,1997/02/03,Premier League,2018/2019,Midfielder,AFC Bournemouth,721,England,0,0,20000000.0
Lewis Dunk,30,1991/11/21,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,England,2,1,12000000.0
Loïc Damour,31,1991/01/08,Premier League,2018/2019,Midfielder,Cardiff City,21,France,0,0,750000.0
Loris Karius,29,1993/06/22,Premier League,2018/2019,Goalkeeper,Liverpool,0,Germany,0,0,5000000.0
Luca de la Torre,24,1998/05/23,Premier League,2018/2019,Midfielder,Fulham,0,USA,0,0,500000.0
Lucas Digne,29,1993/07/20,Premier League,2018/2019,Defender,Everton,2990,France,4,4,30000000.0
Lucas Moura,30,1992/08/13,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,Brazil,10,0,40000000.0
Lucas Torreira,26,1996/02/11,Premier League,2018/2019,Midfielder,Arsenal,2377,Uruguay,2,2,55000000.0
Luciano Vietto,28,1993/12/05,Premier League,2018/2019,Forward,Fulham,983,Argentina,1,4,7000000.0
Luke Shaw,27,1995/07/12,Premier League,2018/2019,Defender,Manchester United,2592,England,1,4,30000000.0
Lys Mousset,26,1996/02/08,Premier League,2018/2019,Forward,AFC Bournemouth,345,France,1,0,3500000.0
Maarten Stekelenburg,40,1982/09/22,Premier League,2018/2019,Goalkeeper,Everton,0,Netherlands,0,0,1000000.0
Mamadou Sakho,32,1990/02/13,Premier League,2018/2019,Defender,Crystal Palace,2417,France,0,0,15000000.0
Manolo Gabbiadini,30,1991/11/26,Premier League,2018/2019,Forward,Southampton,470,Italy,1,0,12000000.0
Manuel Lanzini,29,1993/02/15,Premier League,2018/2019,Midfielder,West Ham United,688,Argentina,1,1,20000000.0
Marc Albrighton,32,1989/11/18,Premier League,2018/2019,Midfielder,Leicester City,1626,England,2,2,10000000.0
Marc Pugh,35,1987/04/02,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,1500000.0
Marcos Alonso,31,1990/12/28,Premier League,2018/2019,Defender,Chelsea,2761,Spain,2,4,40000000.0
Marcus Bettinelli,30,1992/05/24,Premier League,2018/2019,Goalkeeper,Fulham,630,England,0,0,4000000.0
Marcus Rashford,25,1997/10/31,Premier League,2018/2019,Forward,Manchester United,2362,England,10,6,80000000.0
Mario Lemina,29,1993/09/01,Premier League,2018/2019,Midfielder,Southampton,1615,Gabon,1,1,15000000.0
Mark Noble,35,1987/05/08,Premier League,2018/2019,Midfielder,West Ham United,2308,England,5,5,7000000.0
Mark Travers,23,1999/05/18,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,Republic of Ireland,0,0,250000.0
Markus Suttner,35,1987/04/16,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,Austria,0,0,1500000.0
Martin Dúbravka,33,1989/01/15,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,Slovakia,0,0,7000000.0
Martin Kelly,32,1990/04/27,Premier League,2018/2019,Defender,Crystal Palace,1110,England,0,0,3000000.0
Martín Montoya,31,1991/04/14,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,Spain,0,1,8000000.0
Mason Holgate,26,1996/10/22,Premier League,2018/2019,Defender,Everton,407,England,0,0,7000000.0
Mathew Ryan,30,1992/04/08,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,Australia,0,0,10000000.0
Matt Doherty,30,1992/01/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,Republic of Ireland,4,5,15000000.0
Matt Ritchie,33,1989/09/10,Premier League,2018/2019,Midfielder,Newcastle United,2940,Scotland,2,8,12000000.0
Matt Targett,27,1995/09/18,Premier League,2018/2019,Defender,Southampton,1185,England,1,3,7000000.0
Matteo Darmian,32,1989/12/02,Premier League,2018/2019,Defender,Manchester United,443,Italy,0,0,10000000.0
Matthew Connolly,35,1987/09/24,Premier League,2018/2019,Defender,Cardiff City,0,England,0,0,750000.0
Matthew Lowton,33,1989/06/09,Premier League,2018/2019,Defender,Burnley,1748,England,0,0,5000000.0
Max Meyer,27,1995/09/18,Premier League,2018/2019,Midfielder,Crystal Palace,1414,Germany,1,2,15000000.0
Maxime Le Marchand,33,1989/10/11,Premier League,2018/2019,Defender,Fulham,2251,France,0,1,5000000.0
Maya Yoshida,34,1988/08/24,Premier League,2018/2019,Defender,Southampton,1520,Japan,0,1,7000000.0
Mesut Özil,34,1988/10/15,Premier League,2018/2019,Midfielder,Arsenal,1741,Germany,5,2,25000000.0
Michael Keane,29,1993/01/11,Premier League,2018/2019,Defender,Everton,2970,England,1,2,30000000.0
Michael Obafemi,22,2000/07/06,Premier League,2018/2019,Forward,Southampton,134,Republic of Ireland,1,1,1000000.0
Michail Antonio,32,1990/03/28,Premier League,2018/2019,Midfielder,West Ham United,2099,England,6,4,15000000.0
Michel Vorm,39,1983/10/20,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,Netherlands,0,0,1000000.0
Michy Batshuayi,29,1993/10/02,Premier League,2018/2019,Forward,Crystal Palace,756,Belgium,5,0,30000000.0
Miguel Almirón,28,1994/02/10,Premier League,2018/2019,Midfielder,Newcastle United,763,Paraguay,0,0,20000000.0
Mohamed Diamé,35,1987/06/14,Premier League,2018/2019,Midfielder,Newcastle United,2165,Senegal,0,0,5000000.0
Mohamed Elneny,30,1992/07/11,Premier League,2018/2019,Midfielder,Arsenal,381,Egypt,0,0,8000000.0
Mohamed Elyounoussi,28,1994/08/04,Premier League,2018/2019,Midfielder,Southampton,790,Norway,0,0,15000000.0
Mohamed Salah,30,1992/06/15,Premier League,2018/2019,Forward,Liverpool,3262,Egypt,22,8,150000000.0
Morgan Gibbs-White,22,2000/01/27,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,England,0,1,8000000.0
Morgan Schneiderlin,32,1989/11/08,Premier League,2018/2019,Midfielder,Everton,833,France,0,1,15000000.0
Moussa Sissoko,33,1989/08/16,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,France,0,3,25000000.0
N'Golo Kanté,31,1991/03/29,Premier League,2018/2019,Midfielder,Chelsea,3096,France,4,4,100000000.0
Naby Keïta,27,1995/02/10,Premier League,2018/2019,Midfielder,Liverpool,1392,Guinea,2,1,60000000.0
Nacho Monreal,36,1986/02/26,Premier League,2018/2019,Defender,Arsenal,1861,Spain,1,3,8000000.0
Nampalys Mendy,30,1992/06/23,Premier League,2018/2019,Midfielder,Leicester City,2088,France,0,0,8000000.0
Nathan Aké,27,1995/02/18,Premier League,2018/2019,Defender,AFC Bournemouth,3412,Netherlands,4,0,30000000.0
Nathan Redmond,28,1994/03/06,Premier League,2018/2019,Midfielder,Southampton,3276,England,6,4,20000000.0
Nathaniel Chalobah,27,1994/12/12,Premier League,2018/2019,Midfielder,Watford,266,England,0,0,7000000.0
Nathaniel Clyne,31,1991/04/05,Premier League,2018/2019,Defender,AFC Bournemouth,1254,England,0,1,12000000.0
Nathaniel Mendez-Laing,30,1992/04/15,Premier League,2018/2019,Midfielder,Cardiff City,984,England,4,1,3000000.0
Neeskens Kebano,30,1992/03/10,Premier League,2018/2019,Midfielder,Fulham,103,Congo DR,0,0,3000000.0
Nnamdi Ofoborh,22,1999/11/07,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,England,0,0,150000.0
Oleksandr Zinchenko,25,1996/12/15,Premier League,2018/2019,Midfielder,Manchester City,1153,Ukraine,0,3,20000000.0
Oliver Skipp,22,2000/09/16,Premier League,2018/2019,Midfielder,Tottenham Hotspur,216,England,0,0,5000000.0
Olivier Giroud,36,1986/09/30,Premier League,2018/2019,Forward,Chelsea,832,France,2,4,15000000.0
Oriol Romeu,31,1991/09/24,Premier League,2018/2019,Midfielder,Southampton,2140,Spain,1,0,10000000.0
Oumar Niasse,32,1990/04/18,Premier League,2018/2019,Forward,Cardiff City,998,Senegal,0,0,6000000.0
Pablo Zabaleta,37,1985/01/16,Premier League,2018/2019,Defender,West Ham United,2092,Argentina,0,1,3500000.0
Pascal Groß,31,1991/06/15,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,Germany,3,3,10000000.0
Patrick van Aanholt,32,1990/08/29,Premier League,2018/2019,Defender,Crystal Palace,3198,Netherlands,3,2,10000000.0
Paul Dummett,31,1991/09/26,Premier League,2018/2019,Defender,Newcastle United,1986,Wales,0,0,5000000.0
Paul Pogba,29,1993/03/15,Premier League,2018/2019,Midfielder,Manchester United,3011,France,13,9,100000000.0
Paulo Gazzaniga,30,1992/01/02,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,Argentina,0,0,2000000.0
Pedro Obiang,30,1992/03/27,Premier League,2018/2019,Midfielder,West Ham United,1121,Equatorial Guinea,0,1,7000000.0
Peter Crouch,41,1981/01/30,Premier League,2018/2019,Forward,Burnley,86,England,0,0,1000000.0
Phil Bardsley,37,1985/06/28,Premier League,2018/2019,Defender,Burnley,1672,Scotland,0,0,1500000.0
Phil Foden,22,2000/05/28,Premier League,2018/2019,Midfielder,Manchester City,327,England,1,0,25000000.0
Phil Jagielka,40,1982/08/17,Premier League,2018/2019,Defender,Everton,329,England,1,0,1000000.0
Phil Jones,30,1992/02/21,Premier League,2018/2019,Defender,Manchester United,1263,England,0,1,20000000.0
Philip Billing,26,1996/06/11,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,Denmark,2,0,7000000.0
Philippe Sandler,25,1997/02/10,Premier League,2018/2019,Defender,Manchester City,0,Netherlands,0,0,2500000.0
Pierre-Emerick Aubameyang,33,1989/06/18,Premier League,2018/2019,Forward,Arsenal,2731,Gabon,22,5,70000000.0
Pierre-Emile Højbjerg,27,1995/08/05,Premier League,2018/2019,Midfielder,Southampton,2764,Denmark,4,3,15000000.0
Rachid Ghezzal,30,1992/05/09,Premier League,2018/2019,Forward,Leicester City,738,Algeria,1,0,8000000.0
Raheem Sterling,27,1994/12/08,Premier League,2018/2019,Forward,Manchester City,2777,England,17,10,140000000.0
Rajiv van La Parra,31,1991/06/04,Premier League,2018/2019,Midfielder,Huddersfield Town,407,Netherlands,0,0,4000000.0
Ramadan Sobhi,25,1997/01/23,Premier League,2018/2019,Forward,Huddersfield Town,75,Egypt,0,0,5000000.0
Raúl Jiménez,31,1991/05/05,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,Mexico,13,7,35000000.0
Rhys Healey,27,1994/12/06,Premier League,2018/2019,Forward,Cardiff City,49,England,0,0,250000.0
Ricardo Pereira,29,1993/10/06,Premier League,2018/2019,Defender,Leicester City,3125,Portugal,2,6,25000000.0
Richarlison,25,1997/05/10,Premier League,2018/2019,Forward,Everton,2679,Brazil,13,1,50000000.0
Riyad Mahrez,31,1991/02/21,Premier League,2018/2019,Midfielder,Manchester City,1339,Algeria,7,4,60000000.0
Rob Holding,27,1995/09/20,Premier League,2018/2019,Defender,Arsenal,807,England,0,0,12000000.0
Robbie Brady,30,1992/01/14,Premier League,2018/2019,Midfielder,Burnley,715,Republic of Ireland,0,1,8000000.0
Robert Snodgrass,35,1987/09/07,Premier League,2018/2019,Midfielder,West Ham United,2222,Scotland,2,5,7000000.0
Roberto Firmino,31,1991/10/02,Premier League,2018/2019,Forward,Liverpool,2620,Brazil,12,6,80000000.0
Roberto Pereyra,31,1991/01/07,Premier League,2018/2019,Forward,Watford,2825,Argentina,6,1,13000000.0
Romain Saïss,32,1990/03/26,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,Morocco,2,0,5000000.0
Romelu Lukaku,29,1993/05/13,Premier League,2018/2019,Forward,Manchester United,2130,Belgium,12,0,75000000.0
Ross Barkley,28,1993/12/05,Premier League,2018/2019,Midfielder,Chelsea,1241,England,3,5,30000000.0
Ruben Loftus-Cheek,26,1996/01/23,Premier League,2018/2019,Midfielder,Chelsea,983,England,6,2,30000000.0
Rúben Neves,25,1997/03/13,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,Portugal,4,3,45000000.0
Rui Patrício,34,1988/02/15,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,Portugal,0,0,20000000.0
Ryan Bennett,32,1990/03/06,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,England,1,0,7000000.0
Ryan Bertrand,33,1989/08/05,Premier League,2018/2019,Defender,Southampton,2160,England,1,0,15000000.0
Ryan Fraser,28,1994/02/24,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173,Scotland,7,14,30000000.0
Ryan Fredericks,30,1992/10/10,Premier League,2018/2019,Midfielder,West Ham United,1085,England,1,0,5000000.0
Ryan Sessegnon,22,2000/05/18,Premier League,2018/2019,Defender,Fulham,2298,England,2,6,35000000.0
Sadio Mané,30,1992/04/10,Premier League,2018/2019,Forward,Liverpool,3086,Senegal,22,1,120000000.0
Sam Gallagher,27,1995/09/15,Premier League,2018/2019,Forward,Southampton,30,England,0,0,3000000.0
Sam Vokes,33,1989/10/21,Premier League,2018/2019,Forward,Burnley,913,Wales,3,0,5000000.0
Samir Nasri,35,1987/06/26,Premier League,2018/2019,Midfielder,West Ham United,246,France,0,2,5000000.0
Scott Dann,35,1987/02/14,Premier League,2018/2019,Defender,Crystal Palace,660,England,0,1,4000000.0
Scott McTominay,25,1996/12/08,Premier League,2018/2019,Midfielder,Manchester United,861,England,2,0,12000000.0
Sean Longstaff,25,1997/10/30,Premier League,2018/2019,Midfielder,Newcastle United,688,England,1,0,7000000.0
Sean Morrison,31,1991/01/08,Premier League,2018/2019,Defender,Cardiff City,3040,England,1,3,5000000.0
Sebastian Prödl,35,1987/06/21,Premier League,2018/2019,Defender,Watford,13,Austria,0,0,3500000.0
Serge Aurier,29,1992/12/24,Premier League,2018/2019,Defender,Tottenham Hotspur,564,Ivory Coast,0,2,18000000.0
Sergio Rico,29,1993/09/01,Premier League,2018/2019,Goalkeeper,Fulham,2610,Spain,0,0,12000000.0
Sergio Romero,35,1987/02/22,Premier League,2018/2019,Goalkeeper,Manchester United,0,Argentina,0,0,3500000.0
Shane Duffy,30,1992/01/01,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,Republic of Ireland,5,1,12000000.0
Shane Long,35,1987/01/22,Premier League,2018/2019,Forward,Southampton,1269,Republic of Ireland,5,1,7000000.0
Shinji Okazaki,36,1986/04/16,Premier League,2018/2019,Forward,Leicester City,269,Japan,0,1,4000000.0
Shkodran Mustafi,30,1992/04/17,Premier League,2018/2019,Defender,Arsenal,2617,Germany,2,0,25000000.0
Simon Francis,37,1985/02/16,Premier League,2018/2019,Defender,AFC Bournemouth,1226,England,0,2,2000000.0
Simon Mignolet,34,1988/03/06,Premier League,2018/2019,Goalkeeper,Liverpool,0,Belgium,0,0,8000000.0
Sokratis Papastathopoulos,34,1988/06/09,Premier League,2018/2019,Defender,Arsenal,2199,Greece,1,2,20000000.0
Solly March,28,1994/07/20,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2473,England,1,5,8000000.0
Stefano Okaka,33,1989/08/09,Premier League,2018/2019,Forward,Watford,22,Italy,0,0,5000000.0
Stephen Ward,37,1985/08/20,Premier League,2018/2019,Defender,Burnley,230,Republic of Ireland,0,0,2000000.0
Steve Cook,31,1991/04/19,Premier League,2018/2019,Defender,AFC Bournemouth,2787,England,1,1,10000000.0
Steve Mounié,28,1994/09/29,Premier League,2018/2019,Forward,Huddersfield Town,1777,Benin,2,3,10000000.0
Steven Davis,37,1985/01/01,Premier League,2018/2019,Midfielder,Southampton,96,Northern Ireland,0,1,2000000.0
Steven Defour,34,1988/04/15,Premier League,2018/2019,Midfielder,Burnley,452,Belgium,0,0,5000000.0
Stuart Armstrong,30,1992/03/30,Premier League,2018/2019,Midfielder,Southampton,1432,Scotland,3,2,8000000.0
Sullay Kaikai,27,1995/08/26,Premier League,2018/2019,Midfielder,Crystal Palace,0,England,0,0,350000.0
Terence Kongolo,28,1994/02/14,Premier League,2018/2019,Defender,Huddersfield Town,2722,Netherlands,1,1,15000000.0
Theo Walcott,33,1989/03/16,Premier League,2018/2019,Forward,Everton,2122,England,5,2,18000000.0
Tim Ream,35,1987/10/05,Premier League,2018/2019,Defender,Fulham,2051,USA,0,0,4000000.0
Timothy Fosu-Mensah,24,1998/01/02,Premier League,2018/2019,Defender,Fulham,795,Netherlands,0,0,7000000.0
Toby Alderweireld,33,1989/03/02,Premier League,2018/2019,Defender,Tottenham Hotspur,2924,Belgium,0,0,40000000.0
Tom Cairney,31,1991/01/20,Premier League,2018/2019,Midfielder,Fulham,2198,Scotland,1,1,15000000.0
Tom Cleverley,33,1989/08/12,Premier League,2018/2019,Midfielder,Watford,470,England,1,0,7000000.0
Tom Davies,24,1998/06/30,Premier League,2018/2019,Midfielder,Everton,975,England,0,0,15000000.0
Tom Heaton,36,1986/04/15,Premier League,2018/2019,Goalkeeper,Burnley,1710,England,0,0,3000000.0
Trent Alexander-Arnold,24,1998/10/07,Premier League,2018/2019,Defender,Liverpool,2467,England,1,12,80000000.0
Troy Deeney,34,1988/06/29,Premier League,2018/2019,Forward,Watford,2548,England,9,5,10000000.0
Tyrone Mings,29,1993/03/13,Premier League,2018/2019,Defender,AFC Bournemouth,141,England,0,0,5000000.0
Vicente Guaita,35,1987/01/10,Premier League,2018/2019,Goalkeeper,Crystal Palace,1755,Spain,0,0,5000000.0
Víctor Camarasa,28,1994/05/28,Premier League,2018/2019,Midfielder,Cardiff City,2579,Spain,5,4,10000000.0
Victor Lindelöf,28,1994/07/17,Premier League,2018/2019,Defender,Manchester United,2602,Sweden,1,1,35000000.0
Victor Moses,31,1990/12/12,Premier League,2018/2019,Midfielder,Chelsea,26,Nigeria,0,0,11000000.0
Victor Wanyama,31,1991/06/25,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,Kenya,1,0,20000000.0
Vincent Janssen,28,1994/06/15,Premier League,2018/2019,Forward,Tottenham Hotspur,36,Netherlands,0,0,8000000.0
Vincent Kompany,36,1986/04/10,Premier League,2018/2019,Defender,Manchester City,1223,Belgium,1,0,8000000.0
Virgil van Dijk,31,1991/07/08,Premier League,2018/2019,Defender,Liverpool,3385,Netherlands,4,2,90000000.0
Wayne Hennessey,35,1987/01/24,Premier League,2018/2019,Goalkeeper,Crystal Palace,1575,Wales,0,0,5000000.0
Wes Morgan,38,1984/01/21,Premier League,2018/2019,Defender,Leicester City,1926,Jamaica,3,0,2000000.0
Wesley Hoedt,28,1994/03/06,Premier League,2018/2019,Defender,Southampton,1170,Netherlands,0,0,12000000.0
Wilfred Ndidi,25,1996/12/16,Premier League,2018/2019,Midfielder,Leicester City,3299,Nigeria,2,0,35000000.0
Wilfried Zaha,29,1992/11/10,Premier League,2018/2019,Midfielder,Crystal Palace,3041,Ivory Coast,10,5,45000000.0
Will Hughes,27,1995/04/17,Premier League,2018/2019,Midfielder,Watford,2436,England,2,4,18000000.0
Willian,34,1988/08/09,Premier League,2018/2019,Forward,Chelsea,2108,Brazil,3,6,40000000.0
Willy Boly,31,1991/02/03,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,France,4,0,12000000.0
Willy Caballero,41,1981/09/28,Premier League,2018/2019,Goalkeeper,Chelsea,180,Argentina,0,0,1000000.0
Xherdan Shaqiri,31,1991/10/10,Premier League,2018/2019,Midfielder,Liverpool,1058,Switzerland,6,3,25000000.0
Yan Valery,23,1999/02/22,Premier League,2018/2019,Defender,Southampton,1715,France,2,1,7000000.0
Yerry Mina,28,1994/09/23,Premier League,2018/2019,Defender,Everton,890,Colombia,1,0,25000000.0
Yoshinori Muto,30,1992/07/15,Premier League,2018/2019,Forward,Newcastle United,516,Japan,1,0,9000000.0
Youri Tielemans,25,1997/05/07,Premier League,2018/2019,Midfielder,Leicester City,1092,Belgium,3,4,38000000.0
Yves Bissouma,26,1996/08/30,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1769,Mali,0,0,15000000.0
