full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Ander Herrera,33,1989/08/14,Premier League,2018/2019,Midfielder,Manchester United,1404,Spain,2,3,25000000.0
André Gomes,29,1993/07/30,Premier League,2018/2019,Midfielder,Everton,1986,Portugal,1,1,28000000.0
Andre Gray,31,1991/06/26,Premier League,2018/2019,Forward,Watford,1358,England,7,2,15000000.0
André Schürrle,31,1990/11/06,Premier League,2018/2019,Midfielder,Fulham,1650,Germany,6,0,12000000.0
Andreas Christensen,26,1996/04/10,Premier League,2018/2019,Defender,Chelsea,615,Denmark,0,0,30000000.0
Andreas Pereira,26,1996/01/01,Premier League,2018/2019,Midfielder,Manchester United,595,Brazil,1,1,10000000.0
Andrew Robertson,28,1994/03/11,Premier League,2018/2019,Defender,Liverpool,3219,Scotland,0,11,60000000.0
Andrew Surman,36,1986/08/20,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,England,0,0,2500000.0
Andriy Yarmolenko,33,1989/10/23,Premier League,2018/2019,Forward,West Ham United,459,Ukraine,2,0,20000000.0
Andros Townsend,31,1991/07/16,Premier League,2018/2019,Midfielder,Crystal Palace,3018,England,6,4,15000000.0
Andy Carroll,33,1989/01/06,Premier League,2018/2019,Forward,West Ham United,454,England,0,0,8000000.0
Angelo Ogbonna,34,1988/05/23,Premier League,2018/2019,Defender,West Ham United,1870,Italy,1,1,8000000.0
Angus Gunn,26,1996/01/22,Premier League,2018/2019,Goalkeeper,Southampton,1080,England,0,0,10000000.0
Anthony Knockaert,30,1991/11/20,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832,France,2,6,8000000.0
Anthony Martial,26,1995/12/05,Premier League,2018/2019,Forward,Manchester United,1623,France,10,2,60000000.0
Antonio Barreca,27,1995/03/18,Premier League,2018/2019,Defender,Newcastle United,4,Italy,0,0,7000000.0
Antonio Rüdiger,29,1993/03/03,Premier League,2018/2019,Defender,Chelsea,2874,Germany,1,0,50000000.0
Antonio Valencia,37,1985/08/04,Premier League,2018/2019,Defender,Manchester United,466,Ecuador,0,0,5000000.0
Arijanet Muric,23,1998/11/07,Premier League,2018/2019,Goalkeeper,Manchester City,0,Montenegro,0,0,2000000.0
Arthur Masuaku,28,1993/11/07,Premier League,2018/2019,Defender,West Ham United,1756,France,0,1,7000000.0
Artur Boruc,42,1980/02/20,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,Poland,0,0,1000000.0
Ashley Barnes,32,1989/10/30,Premier League,2018/2019,Forward,Burnley,2400,England,12,2,10000000.0
Ashley Westwood,32,1990/04/01,Premier League,2018/2019,Midfielder,Burnley,2822,England,2,7,7000000.0
Ashley Young,37,1985/07/09,Premier League,2018/2019,Midfielder,Manchester United,2568,England,2,2,5000000.0
Aymeric Laporte,28,1994/05/27,Premier League,2018/2019,Defender,Manchester City,3057,France,3,3,75000000.0
Bakary Sako,34,1988/04/26,Premier League,2018/2019,Midfielder,Crystal Palace,25,Mali,0,0,4000000.0
Ben Chilwell,25,1996/12/21,Premier League,2018/2019,Defender,Leicester City,3240,England,0,4,35000000.0
Ben Davies,29,1993/04/24,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,Wales,0,0,25000000.0
Ben Davies,29,1993/04/24,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,Wales,0,0,2000000.0
Ben Foster,39,1983/04/03,Premier League,2018/2019,Goalkeeper,Watford,3420,England,0,0,3000000.0
Ben Gibson,29,1993/01/15,Premier League,2018/2019,Defender,Burnley,63,England,1,0,10000000.0
Ben Hamer,34,1987/11/20,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,England,0,0,500000.0
Ben Mee,33,1989/09/21,Premier League,2018/2019,Defender,Burnley,3420,England,0,2,10000000.0
Ben Wilmot,23,1999/11/04,Premier League,2018/2019,Defender,Watford,26,England,0,0,1500000.0
Benjamin Mendy,28,1994/07/17,Premier League,2018/2019,Defender,Manchester City,900,France,0,5,35000000.0
Beram Kayal,34,1988/05/02,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934,Israel,1,1,1500000.0
Bernardo,27,1995/05/14,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,Brazil,0,1,9000000.0
Bernardo,27,1995/05/14,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,Brazil,0,1,600000.0
Bernardo Silva,28,1994/08/10,Premier League,2018/2019,Midfielder,Manchester City,2853,Portugal,7,7,100000000.0
Bernd Leno,30,1992/03/04,Premier League,2018/2019,Goalkeeper,Arsenal,2835,Germany,0,0,30000000.0
Callum Hudson-Odoi,21,2000/11/07,Premier League,2018/2019,Midfielder,Chelsea,391,England,0,1,35000000.0
Callum Paterson,28,1994/10/13,Premier League,2018/2019,Defender,Cardiff City,1996,Scotland,4,1,5000000.0
Callum Wilson,30,1992/02/27,Premier League,2018/2019,Forward,AFC Bournemouth,2535,England,14,9,30000000.0
Callum Wilson,30,1992/02/27,Premier League,2018/2019,Forward,AFC Bournemouth,2535,England,14,9,25000.0
Calum Chambers,27,1995/01/20,Premier League,2018/2019,Defender,Fulham,2587,England,2,0,14000000.0
Carl Jenkinson,30,1992/02/08,Premier League,2018/2019,Defender,Arsenal,166,England,0,0,2000000.0
Carlos Sánchez,36,1986/02/06,Premier League,2018/2019,Midfielder,West Ham United,240,Colombia,0,0,1500000.0
Cenk Tosun,31,1991/06/07,Premier League,2018/2019,Forward,Everton,1050,Turkey,3,3,18000000.0
Charlie Austin,33,1989/07/05,Premier League,2018/2019,Forward,Southampton,980,England,2,2,8000000.0
Charlie Daniels,36,1986/09/07,Premier League,2018/2019,Defender,AFC Bournemouth,1583,England,1,0,3000000.0
Charlie Taylor,29,1993/09/18,Premier League,2018/2019,Defender,Burnley,3240,England,0,1,7000000.0
Cheikhou Kouyaté,32,1989/12/21,Premier League,2018/2019,Midfielder,Crystal Palace,1897,Senegal,0,2,10000000.0
Chris Löwe,33,1989/04/16,Premier League,2018/2019,Defender,Huddersfield Town,2056,Germany,0,2,2000000.0
Chris Mepham,24,1997/11/05,Premier League,2018/2019,Defender,AFC Bournemouth,849,Wales,0,1,13000000.0
Chris Smalling,32,1989/11/22,Premier League,2018/2019,Defender,Manchester United,2128,England,1,0,20000000.0
Chris Wood,30,1991/12/07,Premier League,2018/2019,Forward,Burnley,2582,New Zealand,10,2,18000000.0
Christian Benteke,31,1990/12/03,Premier League,2018/2019,Forward,Crystal Palace,813,Belgium,1,1,15000000.0
Christian Eriksen,30,1992/02/14,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,Denmark,8,12,100000000.0
Christian Fuchs,36,1986/04/07,Premier League,2018/2019,Defender,Leicester City,206,Austria,0,0,3000000.0
Christian Kabasele,31,1991/02/24,Premier League,2018/2019,Defender,Watford,1587,Belgium,0,0,8000000.0
Christopher Schindler,32,1990/04/29,Premier League,2018/2019,Defender,Huddersfield Town,3262,Germany,1,0,7000000.0
Ciaran Clark,33,1989/09/26,Premier League,2018/2019,Defender,Newcastle United,857,Republic of Ireland,3,0,6000000.0
Claudio Bravo,39,1983/04/13,Premier League,2018/2019,Goalkeeper,Manchester City,0,Chile,0,0,2500000.0
Collin Quaner,31,1991/06/18,Premier League,2018/2019,Forward,Huddersfield Town,37,Germany,0,0,1500000.0
Connor Wickham,29,1993/03/31,Premier League,2018/2019,Forward,Crystal Palace,61,England,0,1,3000000.0
Conor Coady,29,1993/02/25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,England,0,0,10000000.0
Craig Cathcart,33,1989/02/06,Premier League,2018/2019,Defender,Watford,3099,Northern Ireland,3,0,5000000.0
Cyrus Christie,30,1992/09/30,Premier League,2018/2019,Defender,Fulham,1943,Republic of Ireland,0,1,3500000.0
Dale Stephens,33,1989/06/12,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,England,1,1,6000000.0
Dan Burn,30,1992/05/09,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,England,0,0,3000000.0
Dan Gosling,32,1990/02/01,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,England,2,1,3500000.0
